 16211093-2343287        3  N  6050182204945677568 
 16211848-2254578        3  Y  6050297206990387840 
 16211918-2342287        3  Y  6050172068822858624 
 16213192-2301403        3  Y  6050277999896626944 
 16213872-2253285        3  N                      
 16214199-2313432        3  Y  6050270303315054080 
 16214513-2342316        3  N                      
 16214848-2340273        3  Y  6050177459004435072 
 16215769-2429433        3  Y  6049286687085135360 
 16221852-2321480        3  Y  6050218523189626624 
 16222099-2304025        3  N  6050279163829546112 
 16222099-2304025        3  N  6050279168127654656 
 16222442-2450188        3  N  6049195187101751680 
 16222497-2329553        3  Y  6050204641855013376 
 16223564-2337342        3  Y  6050176604308499840 
 16224176-2425380        3  Y  6049246486191231104 
 16224494-2317134        3  Y  6050220683555127680 
 16224539-2431237        3  N  6049241877688177792 
 16224719-2300134        3  Y  6050281092273002496 
 16224864-2302179        3  Y  6050233675834052352 
 16225985-2326348        3  Y  6050205878805898240 
 16230544-2302566        3  N  6050233091718498560 
 16230589-2338176        3  N                      
 16230686-2257367        3  N  6051735604422474240 
 16230880-2257426        3  Y  6051735608718562560 
 16230923-2417047        3  Y  6049342968335155072 
 16231256-2436413        3  N  6049228447328513664 
 16231370-2303580        3  Y  6050232851200327680 
 16231566-2343003        3  N  6049423606346414464 
 16233223-2425536        3  N                      
 16233283-2258468        3  Y  6051734990243252096 
 16233462-2308467        3  N  6050228453153800960 
 16233483-2340303        3  Y  6049444638801226368 
 16233609-2402209        3  Y  6049399966845155840 
 16233609-2402209        3  N  6049399971141149312 
 16233852-2305447        3  Y  6051730076800626432 
 16235053-2258380        3  Y  6051733306616059136 
 16235554-2342108        3  N  6049443608009069952 
 16241346-2418219        3  N  6049339910318478080 
 16241591-2411148        3  Y  6049347778696558976 
 16243520-2426196        3  N  6049323211485628032 
 16243969-2435091        2  Y  6049132308778881280 
 16244104-2417488        2  N  6049333931724000896 
 16244680-2422210        2  N  6049329705476179968 
 16244802-2440051        2  N  6049130556432223104 
 16245231-2501269        3  Y  6049013114845616896 
 16245302-2505561        3  Y  6049006036743651456 
 16245652-2459381     1, 2  N  6049013595886120704 
 16245729-2411240     1, 2  Y  6049336405625377920 
 16245974-2456008     2, 3  N  6049016791341805056 
 16250208-2459323     2, 3  N                      
 16250623-2446570        3  Y  6049125947930612864 
 16250692-2350502        3  N  6049380695327984512 
 16250792-2431572        1  Y  6049133477010044288 
 16251093-2446038        2  Y  6049114338635711616 
 16251188-2437081        2  N  6049129559999868928 
 16251503-2455440        1  N  6049015412653147008 
