|                ra|                dec|          source_id|artifact|
|            double|             double|               long|    char|
|               deg|                deg|                   |        |
|            'null'|             'null'|               null|    null|
 244.34004994892663 -23.416885441288162 6050346856816823552        N 
 244.46152573259377  -22.30280407533479 6050574730599548288        N 
 244.56018406553224   -23.3237856296886 6050352010777437952        N 
 244.61768275106724  -23.27441481927886 6050352659313505536        N 
 244.66304709094098 -21.592955724837154 6244269200073741312        N 
 245.09544048578766   -22.4512471897622 6050514120021417728        N 
 245.20924849213114 -22.594193677215927 6050496459111584384        N 
 245.25924083721966 -23.977795004377217 6050070531500394240        N 
  245.3269737027558  -22.91620399349404 6050297206990387840        N 
 245.32990984403395 -23.708088553879573 6050172068822858624        N 
 245.37162886644816 -24.088677299247394 6049317645209483008        N 
 245.37308547225382 -25.495426495030735 6048608906890968960        N 
 245.40702237920772 -23.541757355900618 6050191963111385984        N 
 245.42494216520856 -23.228811904763695 6050270303315054080        N 
 245.44542062295395  -24.20313257041974 6049311666614988928        N 
 245.49030026027881  -24.49552938368204 6049286687085135360        N 
 245.50805591540407   -22.7615309826481 6051801338898199296        N 
 245.51497371889354 -23.529507868966416 6050180894977922560        N 
 245.54182504389408 -21.654915330897783 6052114802793345792        N 
  245.5638617072117 -25.193191354935923 6048993461079183488        N 
 245.57718591932178  -23.36348590759914 6050218523189626624        N 
  245.6039793587639 -23.498708137344643 6050204641855013376        N 
  245.6131174425758  -24.05304009060311 6049408183118591360        N 
 245.62537094618455  -25.54230852584838 6048596674824189184        N 
 245.64835218226247  -23.62613763996963 6050176604308499840        N 
 245.69660974810805 -23.003817276259596 6050281092273002496        N 
 245.70264016484623 -23.038431844237763 6050233675834052352        N 
 245.78169470045145 -25.276247574472674 6048982328524443136        N 
  245.7825577057529 -23.016774107241147 6051735162041951616        N 
  245.7865805039237 -22.962048156876378 6051735608718562560        N 
 245.86125020739092  -24.80850707394384 6049216730657682816        N 
 245.88471705761458 -25.396946391905608 6048976762246802944        N 
 245.88677372117147 -22.979801226238163 6051734990243252096        N 
 245.89493024758642   -23.6750930808168 6049444638801226368        N 
 245.91047361083784 -23.095878115991063 6051730076800626432        N 
 245.95558628773276 -23.690930223440375 6049443676728549248        N 
 245.95926991652647 -24.034837808154794 6049399593184026880        N 
 245.96042845897597 -22.977354480503504 6051733306616059136        N 
 246.00911952413156  -23.03228466170749 6051732000945974912        N 
  246.0447322893773 -23.827436416786334 6049430035912406400        N 
 246.05583070507774 -24.484511530667387 6049324448436163840        N 
 246.05632962920322 -23.374211667064195 6049459550927597184        N 
 246.07310908385284 -23.905802234104677 6049426256341181568        N 
  246.0744740891803  -22.95192168300126 6051738701094968960        N 
  246.0887775119864 -25.025493567282265 6049011053265501056        N 
  246.2001835164023 -23.045827679509642 6051725330858968704        N 
 246.20160878375347  -23.98790824311002 6049377465512695040        N 
   246.238735808147 -24.190177217667067 6049336405625377920        N 
 246.27103708504168 -24.744861336246867 6049126364544140928        N 
 246.27597484052302 -24.782637603189468 6049125947930612864        N 
 246.29556218354625 -24.767872869206784 6049114338635711616        N 
 246.31124287813964  -24.93541365360429 6049015313873042432        N 
 246.32038198798858 -23.367662903080113 6050956604730019072        N 
 246.39598821148297 -23.548715560273504 6050939459220525312        N 
  246.4057597156851 -23.530403526301974 6050939562299741952        N 
 246.45682319526338  -24.85898843224792 6049110039371711232        N 
  246.4775785460688 -23.508356884419236 6050941314646395008        N 
 246.47970168833555  -23.40691551484955 6050945403455274368        N 
 246.51807452567832 -24.964475053600886 6049061214183490560        N 
 246.60920529495834  -23.28436792732332 6050953649792653312        N 
 246.62191031496124 -25.117915309355816 6049043832452569728        N 
 246.63742551459742 -24.004781139328163 6049365336524897152        N 
  246.6975931466638 -23.247947566008435 6050951072812273664        N 
 246.70271560012247 -23.942936603985977 6049367398109200256        N 
 246.75987853554693 -23.166552862827388 6050978182646139392        N 
 246.76521561688875  -23.45314275433034 6050899361406000000        N 
 246.80303588492822 -25.067282051216047 6049045000683707392        N 
  246.8264692375892  -24.91503653596916 6049064551374989312        N 
 246.82901089183167  -23.52735759091048 6050895783696207872        N 
    246.90973143555  -24.06715696923882 6050675438988944896        N 
  246.9148121335112 -22.756533928371788 6051097681519794944        N 
 246.93743151223055 -24.108035210608744 6049173123852388224        N 
 247.00036818629266  -24.89532901172613 6049054002935211904        N 
 247.01070595306433 -23.917783083047713 6050681211424993280        N 
   247.068771024906 -24.616238412085096 6049094616145974272        N 
 247.06970239781452  -24.08745021229625 6050662725885745536        N 
 247.10124997615267 -24.158965689795004 6050661420215685376        N 
  247.1361540203525 -24.379290128155883 6049107428032112384        N 
   247.233490475417 -23.518743948107232 6050905271281078400        N 
 247.28758310176093 -25.250905482892907 6046026394590627840        N 
 247.39151318278175 -24.925228886813606 6046069030727803136        N 
 247.49703748190893 -24.169739092724345 6050614553532598016        N 
 247.61140163285563 -23.985907508448445 6050644102907664640        N 
 247.64440012865387 -25.094984608947964 6046050515126945792        N 
 247.64846271575888 -24.571980837027397 6047584810585556480        N 
 247.75996621835722  -24.14546938271322 6050626201483958400        N 
 247.81254932153936  -24.54557701309567 6047587937321868288        N 
 247.93913064128992 -24.718770513721516 6047564611356188288        N 
 247.94089207320962  -24.65261576601839 6047573849829430656        N 
 248.09135777728312  -24.70422594783909 6047569834036585728        N 
 248.17217164780382 -24.562167841524126 6047596565913075072        N 
