Name,RA,Dec,Region,IRAC1,IRAC2,IRAC3,IRAC4,MIPS1,WISE1,WISE2,WISE3,WISE4
Luhman2003_236,56.145904541,32.1492614746,IC348,1.72E-03,1.36E-03,1.14E-03,,,,,,
AlvesdeOliveira2013_4,56.0479393005,32.3026275635,IC348,8.62E-04,6.2E-04,4.3E-04,2.26E-04,,,,,
AlvesdeOliveira2013_6,56.0753326416,31.9499988556,IC348,1.06E-03,7.66E-04,5.32E-04,3.5E-04,,9.353E-04,7.284E-04,,
AlvesdeOliveira2013_13,56.27684021,31.9942817688,IC348,1.15E-03,9.42E-04,7.29E-04,5.96E-04,,,,,
Mortier2011_36,243.215377808,-38.7043762207,Lupus,6.37E-01,3.49E-01,3.06E-01,2.02E-01,7.43E-02,6.022E-01,3.36E-01,1.216E-01,8.885E-02
CD-262425,86.0557174683,-26.1040973663,ABD,,,,,,1.455E-01,7.812E-02,1.463E-02,
HD38497,86.4218597412,-14.7751159668,ABD,,,,,,4.762E-01,2.547E-01,4.341E-02,1.314E-02
HD39576,88.0666122437,-28.6569137573,ABD,,,,,,3.368E-01,1.811E-01,3.11E-02,9.051E-03
CD-352722M,92.3300933838,-35.8253059387,ABD,,,,,1.451E-02,5.188E-01,3.028E-01,5.582E-02,1.784E-02
CD-352749M,92.982131958,-35.4869003296,ABD,,,,,,1.763E-01,9.576E-02,1.727E-02,3.911E-03
HD45270,95.6290435791,-60.2186698914,ABD,,,,,7.098E-02,2.827E+00,2.152E+00,2.747E-01,8.392E-02
G88940426,96.4837875366,-60.0576057434,ABD,,,,,1.742E-02,4.539E-01,2.943E-01,5.506E-02,1.933E-02
CD-472500,99.6896133423,-47.238243103,ABD,,,,,,1.07E-01,5.791E-02,1.068E-02,3.673E-03
CD-611439,99.958480835,-61.4782676697,ABD,,,,,2.089E-02,8.26E-01,4.333E-01,7.741E-02,2.322E-02
AC3372872,100.327072144,-38.3433456421,ABD,,,,,3.212E-03,9.431E-02,5.157E-02,9.594E-03,
G85441037,101.972373962,-57.2255592346,ABD,,,,,,8.891E-02,4.733E-02,8.418E-03,2.534E-03
CD-571654,107.710929871,-57.6128845215,ABD,,,,,,8.267E-02,4.45E-02,7.755E-03,
HD64982,116.398300171,-79.6689071655,ABD,,,,,,2.683E-01,1.467E-01,2.709E-02,8.052E-03
HD113449,195.956985474,-5.16177606583,ABD,1.861E+00,1.086E+00,6.79E-01,3.929E-01,4.816E-02,2.129E+00,1.275E+00,1.862E-01,5.611E-02
HD139751,235.118362427,-18.6961269379,ABD,,,,,1.417E-02,5.164E-01,2.995E-01,5.229E-02,1.589E-02
HIP81084,248.423400879,-9.55324745178,ABD,,,,,8.286E-03,3.213E-01,1.798E-01,3.177E-02,9.109E-03
Luhman2003_73,56.256313324,32.1809120178,IC348,1.29E-02,9.61E-03,6.51E-03,4.15E-03,,1.74E-02,1.003E-02,2.412E-02,5.354E-02
Luhman2003_94,56.0469055176,32.1033706665,IC348,1.16E-02,7.29E-03,5.39E-03,3.23E-03,,1.383E-02,7.495E-03,,3.394E-02
AC3511952,85.3097305298,-41.2996063232,ABD,,,,,,7.161E-02,4.025E-02,7.53E-03,
47790394,84.7359771729,-6.41138982773,ABD,,,,,3.805E-03,7.181E-02,3.848E-02,6.742E-03,
Luhman2003_100,56.1249656677,32.1558456421,IC348,1.24E-02,9.23E-03,6.72E-03,4.13E-03,,1.325E-02,8.725E-03,4.022E-02,1.789E-01
Luhman2003_101,56.0898170471,32.1715164185,IC348,1.01E-02,7.1E-03,4.93E-03,2.87E-03,,1.205E-02,8.558E-03,,4.421E-02
Luhman2003_118,56.1272621155,32.1082725525,IC348,8.91E-03,5.94E-03,4.32E-03,2.13E-03,,,,,
CD-481893,84.2295761108,-47.9633674622,ABD,,,,,1.835E-02,7.396E-01,4.192E-01,7.393E-02,2.203E-02
Mortier2011_52,242.09085083,-39.0726318359,Lupus,2.79E-02,2.52E-02,2.37E-02,2.57E-02,3.12E-02,3.264E-02,2.647E-02,2.182E-02,3.998E-02
Sz91,241.798294067,-39.063205719,Lupus,3.86E-02,2.47E-02,1.72E-02,1.09E-02,9.72E-03,4.072E-02,2.53E-02,6.263E-03,1.318E-02
2MASSJ1608149,242.062408447,-38.9540405273,Lupus,4.55E-03,5.35E-03,5.78E-03,5.8E-03,7.88E-03,4.049E-03,5.4E-03,4.438E-03,1.275E-02
RXJ1507.2-3505,226.811737061,-35.0831947327,Lupus,,,,,,1.503E-01,8.173E-02,1.514E-02,6.063E-03
RXJ1526.4-3638,231.607452393,-36.6493377686,Lupus,,,,,,9.183E-02,5.728E-02,1.056E-02,5.643E-03
BD-034778,301.205627441,-2.65565609932,ABD,,,,,,2.313E-01,1.271E-01,2.257E-02,6.575E-03
HD199058,313.58782959,9.0400056839,ABD,,,,,,5.328E-01,2.903E-01,4.961E-02,1.444E-02
AC422524,313.616668701,9.10185909271,ABD,,,,,,9.651E-02,5.253E-02,9.532E-03,
HD201919,318.271942139,-17.4868602753,ABD,,,,,,3.126E-01,1.623E-01,2.905E-02,1.073E-02
BD+224409,322.757141113,23.3354072571,ABD,7.409E-01,4.793E-01,3.144E-01,1.822E-01,2.318E-02,9.107E-01,5.176E-01,9.045E-02,2.741E-02
HD207278M,327.202178955,-39.4859886169,ABD,,,,,,2.115E-01,1.142E-01,1.982E-02,5.184E-03
CD-292360,83.7468261719,-29.901140213,ARG,,,,,,2.111E-01,1.16E-01,2.111E-02,5.86E-03
CD-422906,105.472488403,-42.4656066895,ARG,,,,,,1.342E-01,7.338E-02,1.265E-02,3.825E-03
CD-482972,112.091789246,-49.1438140869,ARG,,,,,,1.936E-01,1.033E-01,1.85E-02,5.276E-03
CD-483199,116.858207703,-49.0475349426,ARG,,,,,,9.519E-02,5.124E-02,9.12E-03,
CD-433604,117.207611084,-43.4515457153,ARG,,,,,,1.74E-01,9.736E-02,1.845E-02,5.742E-03
AC4046710,118.481170654,-57.1687164307,ARG,,,,,,5.116E-02,2.764E-02,4.647E-03,
HD67945,122.410873413,-20.2304973602,ARG,,,,,,4.375E-01,2.405E-01,3.999E-02,1.025E-02
PMM2456,128.932037354,-53.3556289673,ARG,,,,,,4.705E-02,2.592E-02,4.463E-03,
PMM351,129.101089478,-54.0182228088,ARG,,,,,,9.696E-02,5.248E-02,8.662E-03,
CD-582194,129.798156738,-58.5744972229,ARG,,,,,,1.466E-01,7.965E-02,1.432E-02,4.288E-03
PMM4467,129.971054077,-52.9658088684,ARG,3.424E-02,2.106E-02,1.589E-02,7.534E-03,6.691E-04,4.098E-02,2.208E-02,3.611E-03,
PMM1142,130.204605103,-53.6292762756,ARG,5.126E-02,3.307E-02,2.122E-02,1.13E-02,2.218E-03,6.185E-02,3.413E-02,5.321E-03,
PMM1174,130.344802856,-53.6358947754,ARG,,,,,5.701E-03,1.351E-01,7.271E-02,1.379E-02,7.189E-03
PMM3695,130.577316284,-53.0324821472,ARG,3.453E-02,2.345E-02,1.448E-02,8.353E-03,5.166E-04,3.896E-02,2.249E-02,3.148E-03,
PMM5811,130.82460022,-52.6031341553,ARG,1.397E-01,9.226E-02,5.871E-02,3.226E-02,,1.735E-01,9.281E-02,1.698E-02,7.363E-03
PMM2888,130.967941284,-53.2332839966,ARG,,,,,,1.18E-01,6.444E-02,1.087E-02,3.482E-03
PMM2012,130.995925903,-53.5621261597,ARG,,,,,,4.473E-02,2.355E-02,4.297E-03,
PMM4809,131.021743774,-52.8881111145,ARG,,,,,,7.221E-02,3.894E-02,6.773E-03,
Luhman2003_9,56.1632003784,32.1550827026,IC348,1.12E-01,7.77E-02,5.36E-02,3.23E-02,,1.302E-01,8.749E-02,9.506E-02,6.308E-01
Luhman2003_127,56.1781730652,32.1427154541,IC348,1.14E-02,9.84E-03,1.03E-02,1.05E-02,1.36E-02,1.134E-02,1.118E-02,,
Luhman2003_128,56.1574134827,32.2050476074,IC348,8.57E-03,5.82E-03,4.21E-03,2.48E-03,,,,,
RXJ1529.6-3546,232.410766602,-35.7809181213,Lupus,,,,,,1.933E-01,1.069E-01,1.9E-02,
HIP10679,34.3530387878,28.7418079376,BPI,,,,,3.904E-02,9.958E-01,5.39E-01,9.298E-02,4.49E-02
HD14082,34.3553085327,28.7450847626,BPI,,,,,3.627E-02,2.071E+00,1.176E+00,1.545E-01,6.204E-02
BD+30397b,36.8668670654,30.9779243469,BPI,,,,,7.104E-03,2.363E-01,1.474E-01,2.757E-02,7.76E-03
GJ3305,69.4060974121,-2.49118089676,BPI,8.042E-01,5.222E-01,3.432E-01,1.993E-01,2.5E-02,8.924E-01,5.582E-01,9.972E-02,3.298E-02
V1005Ori,74.8951263428,1.78352797031,BPI,7.859E-01,5.621E-01,3.732E-01,2.169E-01,2.937E-02,1.041E+00,6.315E-01,1.098E-01,3.298E-02
CD-571054M,75.1964492798,-57.2571105957,BPI,,,,,2.907E-02,1.084E+00,6.234E-01,1.091E-01,3.511E-02
HIP23418aa,75.4950485229,9.98299026489,BPI,,,,,2.921E-02,1.034E+00,6.937E-01,1.187E-01,3.987E-02
1120917,80.0012283325,6.21769380569,BPI,,,,,,1.158E-01,6.421E-02,1.198E-02,
BPic,86.821182251,-51.0665168762,BPI,1.064E+01,6.821E+00,4.429E+00,3.563E+00,,1.05E+01,1.073E+01,2.471E+00,7.912E+00
TWA22,154.362045288,-53.9073677063,BPI,,,,,9.051E-03,3.08E-01,2.105E-01,4.207E-02,1.568E-02
HD139084bM,234.73664856,-57.705280304,BPI,1.873E-02,3.013E-02,1.741E-01,1.838E-02,3.017E-03,8.139E-02,5.138E-02,8.121E-03,
HD139084M,234.739883423,-57.7075920105,BPI,1.238E+00,6.903E-01,2.093E-01,1.676E-01,3.594E-02,1.324E+00,8.733E-01,1.368E-01,3.991E-02
CD-2711535M,258.765106201,-27.827703476,BPI,,,,,,3.649E-01,2.066E-01,3.712E-02,
Luhman2003_8,56.0381317139,32.1192588806,IC348,9.79E-02,6.64E-02,4.63E-02,3.68E-02,1E-02,1.182E-01,6.601E-02,5.38E-02,5.534E-02
HD133813M,228.097625732,-75.2543411255,ARG,,,,,,3.412E-01,1.823E-01,3.239E-02,8.361E-03
CD-395833,146.832748413,-40.0527305603,ARG,,,,,,9.501E-02,5.128E-02,9.683E-03,
AC4461578,145.697601318,-72.6638793945,ARG,,,,,,3.717E-02,2.017E-02,3.869E-03,
AC3614399,142.22555542,-41.0219841003,ARG,,,,,,7.443E-02,4.1E-02,7.656E-03,
Luhman2003_143,56.0171012878,32.1214027405,IC348,6.11E-03,4.46E-03,3.13E-03,1.91E-03,,8.298E-03,5.336E-03,3.876E-02,5.919E-02
Luhman2003_156,56.1576271057,32.1687355042,IC348,6.43E-03,4.59E-03,3.58E-03,1.54E-03,,7.83E-03,6.976E-03,3.49E-02,3.25E-01
Luhman2003_182,56.1366767883,32.0703659058,IC348,4.16E-03,2.96E-03,2.05E-03,,3.17E-03,6.254E-03,5.296E-03,,1.301E-01
RXJ1548.6-4335,237.175170898,-43.5891075134,Lupus,,,,,,5.907E-02,3.218E-02,5.888E-03,
RXJ1549.9-3629,237.496704102,-36.4992790222,Lupus,,,,,,8.982E-02,4.83E-02,9.12E-03,
RXJ1609.3-3855,242.346679688,-38.9318771362,Lupus,7.29E-02,4.8E-02,3.21E-02,1.9E-02,2.05E-03,7.154E-02,4.442E-02,8.364E-03,
RXJ1609.4-3850,242.36416626,-38.8385047913,Lupus,1.33E-01,7.6E-02,5.34E-02,3.36E-02,3.53E-03,1.405E-01,8.348E-02,1.559E-02,7.202E-03
LOri062,83.813896,9.8102655,LOri,3.166E-03,2.273E-03,1.583E-03,1.949E-03,5.271E-03,2.961E-03,2.04E-03,2.701E-03,
HD197481M,311.289550781,-31.3407382965,BPI,5.051E+00,3.158E+00,2.011E+00,1.188E+00,1.589E-01,,,,
HD199143M,313.948638916,-17.1141643524,BPI,,,,,3.763E-02,1.583E+00,9.264E-01,1.436E-01,4.561E-02
HD358623,314.011444092,-17.1816329956,BPI,,,,,1.495E-02,5.646E-01,3.116E-01,5.375E-02,1.503E-02
22111309,330.173248291,27.2537593842,BPI,,,,,,2.791E-01,1.553E-01,2.805E-02,1.017E-02
CP-722713M,340.70401001,-71.705871582,BPI,,,,,1.673E-02,6.073E-01,3.336E-01,5.992E-02,1.862E-02
WWPsAX,341.241424561,-33.2504348755,BPI,5.437E-01,3.693E-01,2.385E-01,1.368E-01,1.941E-02,5.902E-01,3.926E-01,7.191E-02,2.333E-02
TXPsAX,341.250213623,-33.2571716309,BPI,2.562E-01,1.737E-01,1.127E-01,6.389E-02,1.127E-02,2.678E-01,1.813E-01,3.451E-02,1.091E-02
BD-136424M,353.128540039,-12.2642498016,BPI,,,,,,7.78E-01,4.588E-01,8.083E-02,2.634E-02
HD107722,185.871109009,-77.6809539795,CAR,,,,,,4.436E-01,2.421E-01,4.13E-02,1.319E-02
Luhman2007_7,164.12686,-77.194252,ChaI,1.332E-01,,1.068E-01,,3.594E-01,1.33E-01,1.176E-01,1.946E-01,4.28E-01
Luhman2007_10,164.56989,-77.288071,ChaI,,,3.138E-01,,1.201E+00,4.498E-01,3.627E-01,2.28E-01,1.21E+00
Luhman2003_10,56.1027641296,32.1708450317,IC348,9.83E-02,6.1E-02,4.12E-02,2.46E-02,,1.313E-01,7.914E-02,2.568E-02,8.292E-02
